smiles,vina_score
CCN(CC)CCNC(=O)c1c([Se][Se]c2[nH]c3ccccc3c2C(=O)NCCN(CC)CC)[nH]c2ccccc12,4.6
CCN(CC)CCn1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2CCN(CC)CC)c(C(=O)NC)c2ccccc12,18.7
FC(F)(F)C(=O)N[C@H](Cc1c([Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,21.2
FC(F)(F)C(=O)N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,8.2
N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,9.1
N[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,-7.9
N(c1ccccc1)c1ncnc2ccccc12,-8.2
Fc1cccc(Nc2ncnc3ccccc23)c1,-8.0
Clc1cccc(Nc2ncnc3ccccc23)c1,-7.9
Brc1cccc(Nc2ncnc3ccccc23)c1,-8.0
Ic1cccc(Nc2ncnc3ccccc23)c1,-8.5
FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,-7.8
COc1ccc2ncnc(Nc3ccccc3)c2c1,-7.7
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.7
Nc1ccc2ncnc(Nc3ccccc3)c2c1,-7.8
Nc1ccc2ncnc(Nc3cccc(c3)C(F)(F)F)c2c1,-7.6
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-8.1
[O-][N+](=O)c1ccc2ncnc(Nc3ccccc3)c2c1,-7.5
[O-][N+](=O)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-8.0
[O-][N+](=O)c1ccc2ncnc(Nc3cccc(c3)C(F)(F)F)c2c1,-8.0
COc1ccc2c(Nc3ccccc3)ncnc2c1,-8.0
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.9
Nc1ccc2c(Nc3ccccc3)ncnc2c1,-8.2
Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1,-7.9
