Ligand SMILES,Affinity_nM
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1C(F)F, 3.4
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1C(F)F, 1.7
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1C(F)F, 2.5
Cc1cc(Nc2nc(nc3c2COC3(C)C)-c2cn[nH]c2)n[nH]1, 844
CC1(C)OCc2c1nc(nc2Nc1n[nH]c(Cl)c1Cl)-c1cn[nH]c1, 389
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2CCCCc12)-c1cn[nH]c1,>2000
CC1(C)OCc2c1nc(nc2Nc1c[nH]c2ccccc12)-c1cn[nH]c1, 17
CC1(C)OCc2c1nc(nc2Nc1nsc2ccccc12)-c1cn[nH]c1, 747
CC1(C)OCc2c1nc(nc2Nc1nc2ccccc2s1)-c1cn[nH]c1,>2000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccncc12)-c1cn[nH]c1,>2000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(F)cccc12)-c1cn[nH]c1, 3.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2cc(F)ccc12)-c1cn[nH]c1, 2.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccc(F)cc12)-c1cn[nH]c1, 8.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2cccc(F)c12)-c1cn[nH]c1, 17
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(cccc12)C(F)(F)F)-c1cn[nH]c1, 134
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2cc(ccc12)C(F)(F)F)-c1cn[nH]c1,>2000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1, 2.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1, 1.5
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1, 1.3
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1, 0.400000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cccc12)-c1cn[nH]c1, 1.3
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2cc(Cl)ccc12)-c1cn[nH]c1, 22
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(F)cc(F)cc12)-c1cn[nH]c1, 10
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)c(F)ccc12)-c1cn[nH]c1, 4.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2c(Cl)cc(F)cc12)-c1cn[nH]c1, 16
Cn1nc(Nc2nc(nc3c2COC3(C)C)-c2cn[nH]c2)c2cccc(F)c12, 57
CN(c1n[nH]c2ccccc12)c1nc(nc2c1COC2(C)C)-c1cn[nH]c1, 519
CC1(C)OCc2c1nc(nc2Oc1n[nH]c2ccccc12)-c1cn[nH]c1, 85
CC1(C)OCc2c1nc(nc2C(=O)c1n[nH]c2ccccc12)-c1cn[nH]c1, 104
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1c[nH]nn1, 732
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cscn1, 5.6
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cc[nH]n1, 175
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1, 34
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12, 3.2
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12, 3.5
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12, 2.2
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 123
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 0.100000
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 0.300000
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 0.100000
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 95
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cn[nH]c1, 2.0
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cn[nH]c1, 0.600000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cn[nH]c1, 0.500000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cn[nH]c1, 0.200000
CC1(C)OCc2c1nc(nc2Nc1n[nH]c2ccccc12)-c1cn[nH]c1, 1.6
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(nc1)N1CCN(C)CC1, 78
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3Cl)cc[nH]c2=O)cc1, 82
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(CN2CCN(C)CC2)cc1, 51
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cn1)N1CCN(C)CC1,>2060
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3cccc(Cl)c3)cc[nH]c2=O)cc1, 155
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCS(=O)(=O)CC1, 37
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCC(C)CC1, 625
CN1CCN(CC1)c1ccc(NC(=O)c2c(NC[C@@H](O)c3cccc(Cl)c3)cc[nH]c2=O)cc1, 65
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3ccc(Cl)cc3)cc[nH]c2=O)cc1, 262
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3ccccc3)cc[nH]c2=O)cc1, 117
COc1ccccc1Nc1cc[nH]c(=O)c1-c1nc2c(ccc(C)c2[nH]1)C(C)C, 88
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCc3ccccc3)cc[nH]c2=O)cc1, 350
CCc1cc(NC(=O)c2c(Nc3ccccc3OC)cc[nH]c2=O)ccc1N1CCN(C)CC1, 31
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3)cc[nH]c2=O)cc1, 144
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCN(C)CC2)c(C)c1, 26
CN1CCN(CC1)c1ccc(NC(=O)c2c(N)cc[nH]c2=O)cc1, 346
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 136
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccc(Cl)cc3)cc[nH]c2=O)cc1, 629
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3cccc(Cl)c3)cc[nH]c2=O)cc1, 66
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCc3ccccc3)cc[nH]c2=O)cc1, 349
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCC(C)CC1,>2500
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3)cc[nH]c2=O)cc1,>2540
CN1CCN(CC1)c1ccc(NC(=O)c2c(N)cc[nH]c2=O)cc1,>2540
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3Cl)cc[nH]c2=O)cc1, 1480
CN1CCN(CC1)c1ccc(NC(=O)c2c(NC[C@@H](O)c3cccc(Cl)c3)cc[nH]c2=O)cc1, 18
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(nc1)N1CCN(C)CC1,>2500
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3ccc(Cl)cc3)cc[nH]c2=O)cc1, 37
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cn1)N1CCN(C)CC1,>2500
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3ccccc3)cc[nH]c2=O)cc1, 49
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCS(=O)(=O)CC1,>1300
COc1ccccc1Nc1cc[nH]c(=O)c1-c1nc2c(cccc2[nH]1)C(C)C, 58
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3cccc(Cl)c3)cc[nH]c2=O)cc1, 2520
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccc(Cl)cc3)cc[nH]c2=O)cc1,>2540
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3C)cc[nH]c2=O)cc1, 2340
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccnc(N)n3)cc[nH]c2=O)cc1, 850
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccncc3N)cc[nH]c2=O)cc1,>1230
COc1ccccc1Nc1cc[nH]c(=O)c1C(N)=O,>2500
CN1CCN(CC1)c1ccc(NC(=O)c2c(NCCc3cccc(Cl)c3)cc[nH]c2=O)cc1, 43
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCN(C)CC1, 1090
COc1ccccc1N(C)c1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCN(C)CC1,>2540
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccn3)cc[nH]c2=O)cc1,>2540
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC, 0.100000
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccncn3)cc[nH]c2=O)cc1,>2540
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(CN2CCN(C)CC2)cc1, 1200
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccc3C)cc[nH]c2=O)cc1, 61
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCN(C)CC1, 19
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCCN(C)CC1, 12
COc1ccccc1N(C)c1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCN(C)CC1,>2060
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)C1CCN(C)CC1, 15
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccccn3)cc[nH]c2=O)cc1, 108
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccncn3)cc[nH]c2=O)cc1, 95
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccnc(N)n3)cc[nH]c2=O)cc1, 4
CN1CCN(CC1)c1ccc(NC(=O)c2c(Nc3ccncc3N)cc[nH]c2=O)cc1, 145
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)N1CCCN(C)CC1, 705
COc1ccccc1Nc1cc[nH]c(=O)c1C(N)=O,>688
COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(cc1)C1CCN(C)CC1, 634
Clc1cccc(CCNc2cc[nH]c(=O)c2C(=O)Nc2ccccc2)c1, 330
CN(C)c1ccc(NC(=O)c2c(NCCc3cccc(Cl)c3)cc[nH]c2=O)cc1, 290
Clc1cccc(CCNc2cc[nH]c(=O)c2C(=O)Nc2ccccc2)c1, 1210
CN(C)c1ccc(NC(=O)c2c(NCCc3cccc(Cl)c3)cc[nH]c2=O)cc1, 757
COc1ccccc1Nc1cc[nH]c(=O)c1-c1nc2c(cccc2[nH]1)C(C)C, 2400
CN1CCN(CC1)c1ccc(Nc2nc(Oc3cccc(NC(=O)C=C)c3)c3cc[nH]c3n2)cc1, 2.0
Cn1ccc(Nc2nc(Oc3cccc(NC(=O)C=C)c3)c3cc[nH]c3n2)n1, 14
Cn1cc(Nc2nc(Oc3cccc(NC(=O)C=C)c3)c3cc[nH]c3n2)cn1, 3.0
Cn1cc(Nc2nc(OC[C@@H]3CCN(C3)C(=O)C=C)c3cc[nH]c3n2)cn1, 590
Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3C(F)(F)F)C(=O)C=C)c3cc[nH]c3n2)cn1, 35
Cn1cc(Nc2nc(OC[C@@H]3CCN(C3)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 8.0
Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3C(F)(F)F)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 3.0
Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3F)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 3.0
Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3O)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 8.0
Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3CO)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 15
COC[C@H]1CN(C[C@@H]1COc1nc(Nc2cnn(C)c2)nc2[nH]cc(Cl)c12)C(=O)C=C, 4.0
CO[C@@H]1CN(C[C@H]1COc1nc(Nc2cnn(C)c2)nc2[nH]cc(Cl)c12)C(=O)C=C, 32
Fc1ccc(Nc2ncnc3cc(OCC#C)c(NC(=O)C=C)cc23)cc1Cl, 2.0
CO[C@H]1CN(C[C@@H]1COc1nc(Nc2cnn(CCC#C)c2)nc2[nH]cc(Cl)c12)C(=O)C=C, 10.0
CO[C@H]1CN(C[C@@H]1COc1nc(Nc2cnn(C)c2)nc2[nH]cc(Cl)c12)C(=O)C=C, 4.0
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl, 0.110000
CO[C@H]1CN(C[C@@H]1COc1nc(Nc2cnn(C)c2)nc2[nH]cc(Cl)c12)C(=O)C=C, 1600
CC(C)C[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c(F)c(F)c(O)c(F)c1F)C(=O)NCC(O)=O, 20000
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C, 0.140000
C(Nc1ccnc2oc3ccccc3c12)c1cccnc1,>1000000
Clc1ccc(CNc2ccnc3oc4ccccc4c23)cc1, 500
Clc1cccc(CNc2ccnc3oc4ccccc4c23)c1,>1000000
COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1, 400
C(Nc1ccnc2oc3ccccc3c12)c1cccc2ccccc12, 680
